product_name,category,num_reviews,rating,product_created,price_unit,,,,,
Raw King Size Rolling Papers,gear,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 2, 'label': 'each', 'onSale': False, 'originalPrice': 2}
Small Bamboo Rolling Tray,gear,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 14, 'label': 'each', 'onSale': False, 'originalPrice': 14}
Vibes 1 1/4 Cones - Rice (6 Pk),gear,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 3.5, 'label': 'each', 'onSale': False, 'originalPrice': 3.5}
Vibes King Size Cones - Hemp (3 Pk),gear,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 3.5, 'label': 'each', 'onSale': False, 'originalPrice': 3.5}
Vibes King Size Cones - Rice (3 Pk),gear,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 3.5, 'label': 'each', 'onSale': False, 'originalPrice': 3.5}
Vibes King Size Cones - Ultra Thin (3 Pk),gear,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 3.5, 'label': 'each', 'onSale': False, 'originalPrice': 3.5}
Vibes King Size Rolling Papers - Hemp,gear,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 2, 'label': 'each', 'onSale': False, 'originalPrice': 2}
Vibes X Glow Tray - Black,gear,0,0,3/1/2021,{'unit': 'unit', 'quantity': '1', 'price': 75, 'label': 'each', 'onSale': False, 'originalPrice': 75}
Yocan - Evolve Plus XL - Champagne Gold,gear,0,0,3/1/2021,{'unit': 'unit', 'quantity': '1', 'price': 45, 'label': 'each', 'onSale': False, 'originalPrice': 45}
YoCan Concentrate Pen Vaporizer - Black,gear,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 45, 'label': 'each', 'onSale': False, 'originalPrice': 45}
Yocan Concentrate Pen Vaporizer - Blue,gear,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 45, 'label': 'each', 'onSale': False, 'originalPrice': 45}
Yocan Concentrate Pen Vaporizer - Sea Blue,gear,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 45, 'label': 'each', 'onSale': False, 'originalPrice': 45}
Yocan Concentrate Pen Vaporizer - SIlver,gear,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 45, 'label': 'each', 'onSale': False, 'originalPrice': 45}
